Document Title,EC1,EC2,EC3,EC4,EC5
{Game-{Based} {Simulation} for the {Evaluation} of {Threat} {Detection} in a {Seaport} {Environment}},X,-,-,-,X
{A {Systematic} {Review} of {Game} {Design} {Methods} and {Tools}},X,-,-,-,X
{A {Virtual} {Environment} for {Learning} {Aiport} {Emergency} {Management} {Protocols}},-,-,-,-,X
{Development of an {Autonomous} {Rescue} {Robot} {Within} the {USARSim} {3D} {Virtual} {Environment}},-,-,-,-,X
{Developing {Re}-{Usable} {Interactive} {Storytelling} {Technologies}},-,-,-,-,X
{A {Battle} of {Wit}: {Applying} {Computational} {Humour} to {Game} {Design}},X,-,-,-,X
{{AR}’istophanes: {Mixed} {Reality} {Live} {Stage} {Entertainment} with {Spectator} {Interaction}},-,-,-,-,X
{Measuring {Game}-{Play} {Performance} and {Perceived} {Immersion} in a {Domed} {Planetarium} {Projection} {Environment}},X,-,-,-,X
{Screen {Space} {Cone} {Tracing} for {Glossy} {Reflections}},-,-,-,-,-
{A {Surround} {Display} {Warp}-{Mesh} {Utility} to {Enhance} {Player} {Engagement}},X,-,-,-,-
{{TopLeague} and {Bundesliga} {Manager}: {New} {Generation} {Online} {Soccer} {Games}},X,-,-,-,X
{Modeling {Camera} {Effects} to {Improve} {Visual} {Learning} from {Synthetic} {Data}},X,-,-,-,X
{Virtual {Environment} for the {Treatment} of {Patients} with {Hemiparesis}},-,-,-,-,X
{Coping with {Complex} {Real}-{World} {Problems}: {Strategies} for {Developing} the {Competency} of {Transdisciplinary} {Collaboration}},X,-,-,-,X
{Mesh {Extraction} from a {Regular} {Grid} {Structure} {Using} {Adjacency} {Matrix}},-,-,-,-,X
{User {Interface} {Prototyping} {Toolkit} ({UIPT})},-,-,-,-,X
{Exploring the {Metaverse}: {Opportunities} for {Tourism} and {Territorial} {Development}},-,-,-,-,X
{Programming a {Robotic} {Toy} with a {Block} {Coding} {Application}: {A} {Usability} {Study} with {Non}-programmer {Adults}},X,-,-,-,X
{Large-{Scale} {Stochastic} {Scene} {Generation} and {Semantic} {Annotation} for {Deep} {Convolutional} {Neural} {Network} {Training} in the {RoboCup} {SPL}},-,-,-,-,X
{Enabling {Codesharing} in {Rescue} {Simulation} with {USARSim}/{ROS}},-,-,-,-,X
{Interaction {Techniques} in {Three}-{Dimensional} {Virtual} {Environments} {Based} on {Games} to {Support} {Chronic} {Diseases} {Treatment}: {A} {Systematic} {Review}},X,-,-,-,X
{Linked {Open} {Data} {Driven} {Game} {Generation}},X,-,-,-,X
{{fAARS}: {A} {Platform} for {Location}-{Aware} {Trans}-reality {Games}},X,-,-,-,X
{Mappets: {An} {Interactive} {Plugin} for {Transmedia} {Machinima} on {Unity3D}},-,-,-,-,X
{A {Feature}-{Based} {Environment} for {Digital} {Games}},-,-,-,-,X
{Choosing a {Selection} {Technique} for a {Virtual} {Environment}},X,-,-,-,X
{Bridging the {Gap} {Between} {Simulation} and {Reality} in {Urban} {Search} and {Rescue}},X,-,-,-,X
{Development of a {Virtual} {Electric} {Wheelchair} – {Simulation} and {Assessment} of {Physical} {Fidelity} {Using} the {Unreal} {Engine} 3},-,-,-,-,-
{Rule-{Based} {Camerawork} {Controller} for {Automatic} {Comic} {Generation} from {Game} {Log}},-,-,-,-,X
{Immersive {Digital} {Games}: {The} {Interfaces} for {Next}-{Generation} {E}-{Learning}?},X,-,-,-,X
{An {Empirical} {Study} on {Immersive} {Prototyping} {Dimensions}},X,-,-,-,X
{Head {Tracking} in {First}-{Person} {Games}: {Interaction} {Using} a {Web}-{Camera}},-,-,-,-,-
{Exploration of the {Interactive} {Narrative} {Modes} and {Application} {Form} of {AR} {Animations}},-,-,-,-,X
{Development and {Usability} of a {Low}-{Cost} {Kinect} {Game} to {Promote} {Movement} {Competence} in {Children} with and {Without} {Intellectual} {Disability}},-,-,-,-,X
{{EDUGAME4CITY}. {A} {Gamification} for {Architecture} {Students}. {Viability} {Study} {Applied} to {Urban} {Design}},X,-,-,-,X
{A {User}-{Centric} {Design} {Framework} for {Smart} {Built} {Environments}},X,-,-,-,X
{A {Context}-{Aware} {Assistance} {Framework} for {Implicit} {Interaction} with an {Augmented} {Human}},X,-,-,-,X
{Interpretable {Intuitive} {Physics} {Model}},X,-,-,-,X
{Hand {Gesture} {Recognition} for {Smartphone}-{Based} {Augmented} {Reality} {Applications}},X,-,-,-,X
{Learn-to-{Score}: {Efficient} {3D} {Scene} {Exploration} by {Predicting} {View} {Utility}},X,-,-,-,X
{Rendering {Non}-{Euclidean} {Space} in {Real}-{Time} {Using} {Spherical} and {Hyperbolic} {Trigonometry}},-,-,-,-,X
{Multiplatform {Game} {Type} of {Health} {Survey} on {Cancer} {Patient}’s {Stress} {Level}},-,-,-,-,X
{Integration of {Artificial} {Intelligence} {Techniques} in a {Virtual} {Environment}},-,-,-,-,X
{Virtual {Environment} to {Treat} {Social} {Anxiety}},X,-,-,-,X
{Comic {Layout} for {Automatic} {Comic} {Generation} from {Game} {Log}},X,-,-,-,X
"{Knowledge {Representation} {Environments}: {An} {Investigation} of the {CASSMs} between {Creators}, {Composers} and {Consumers}}",X,-,-,-,X
{User {Studies} of a {Multiplayer} {First} {Person} {Shooting} {Game} with {Tangible} and {Physical} {Interaction}},X,-,-,-,X
{{3D}-{HUDD} – {Developing} a {Prototyping} {Tool} for {3D} {Head}-{Up} {Displays}},X,-,-,-,X
{Digital {Game}-{Based} {Learning}: {An} {Agent} {Approach}},X,-,-,-,X
{Advances in {Game} {Accessibility} from 2005 to 2010},X,-,-,-,X
{Using {3D} {Models} {And} {Discrete} {Simulations} {In} {Infrastructure} {Security} {Applications}},X,-,-,-,X
{Skyfarer: {Design} {Case} {Study} of a {Mixed} {Reality} {Rehabilitation} {Video} {Game}},X,-,-,-,X
{{UBBA}: {Unity} {Based} {BPMN} {Animator}},-,-,-,-,-
{Element {Selection} of {Three}-{Dimensional} {Objects} in {Virtual} {Reality}},X,-,-,-,X
{Investigating the {Influence} of {Optical} {Stimuli} on {Human} {Decision} {Making} in {Dynamic} {VR}-{Environments}},X,-,-,-,X
{Virtual and {Real} {Body} {Experience} {Comparison} {Using} {Mixed} {Reality} {Cycling} {Environment}},X,-,-,-,X
{Emergency {Response} {Using} {HoloLens} for {Building} {Evacuation}},X,-,-,-,X
{An {Interactive} {Elementary} {Tutoring} {System} for {Oral} {Health} {Education} {Using} an {Augmented} {Approach}},X,-,-,-,X
{Exergames: {Game} {Prototype} {Using} {Maker} {Movement} {Assets}},X,-,-,-,X
{{MRCAT}: {In} {Situ} {Prototyping} of {Interactive} {AR} {Environments}},X,-,-,-,X
"{Generalised {Player} {Modelling}: {Why} {Artificial} {Intelligence} in {Games} {Should} {Incorporate} {Meaning}, with a {Formalism} for so {Doing}}",X,-,-,-,X
{Guidance {System} {Using} {Augmented} {Reality} for {Solving} {Rubik}’s {Cube}},X,-,-,-,X
{Digital {Art} {Application} {Development}: {A} {Project} to {Increase} {Motivation} in {Systems} {Development} {Courses} for {Bachelor} {Students} in {Computer} {Engineering}},X,-,-,-,X
"{Multidisciplinary {Iterative} {Design} of {Exergames} ({MIDE}): {A} {Framework} for {Supporting} the {Design}, {Development}, and {Evaluation} of {Exergames} for {Health}}",X,-,-,-,X
{Beware of the {Robot}: {A} {Highly} {Interactive} and {Immersive} {Virtual} {Reality} {Training} {Application} in {Robotic} {Manufacturing} {Systems}},X,-,-,-,X
{Integrating and {Delivering} {Sound} {Using} {Motion} {Capture} and {Multi}-tiered {Speaker} {Placement}},-,-,-,-,X
{{3D} {Virtual} {Environments} for the {Rehabilitation} of the {Blind}},-,-,-,-,X
{When {Items} {Become} {Victims}: {Brand} {Memory} in {Violent} and {Nonviolent} {Games}},X,-,-,-,X
{Laugh {When} {You}’re {Winning}},X,-,-,-,X
"{A {Virtual} {Testbed} for {Critical} {Incident} {Investigation} with {Autonomous} {Remote} {Aerial} {Vehicle} {Surveying}, {Artificial} {Intelligence}, and {Decision} {Support}}",X,-,-,-,X
{A {Virtual} {Testbed} for {Studying} {Trust} in {Ambient} {Intelligence} {Environments}},X,-,-,-,X
{An {Exploratory} {Comparison} of the {Visual} {Quality} of {Virtual} {Reality} {Systems} {Based} on {Device}-{Independent} {Testsets}},-,-,-,-,X
{Multimodal {Interfaces} and {Sensory} {Fusion} in {VR} for {Social} {Interactions}},X,-,-,-,X
{Learning to {Map} {Vehicles} into {Bird}’s {Eye} {View}},X,-,-,-,X
"{Performance, {Simulator} {Sickness}, and {Immersion} of a {Ball}-{Sorting} {Task} in {Virtual} and {Augmented} {Realities}}",X,-,-,-,X
{Natural {Interaction} and {Movement} {Paradigms}. {A} {Comparison} of {Usability} for a {Kinect} {Enabled} {Museum} {Installation}},-,-,-,-,X
{Simulation {Sickness} {Evaluation} {While} {Using}   a {Fully} {Autonomous} {Car} in a {Head} {Mounted}   {Display} {Virtual} {Environment}},X,-,-,-,X
{Energy-{Efficient} and {Quality} of {Experience}-{Aware} {Resource} {Provisioning} for {Massively} {Multiplayer} {Online} {Games} in the {Cloud}},X,-,-,-,X
{Lessons from {Building} {Diverse} {Adaptive} {Instructional} {Systems} ({AIS})},X,-,-,-,X
{Social {Impact} of {Enhanced} {Gaze} {Presentation} {Using} {Head} {Mounted} {Projection}},X,-,-,-,X
{Penalizing {Top} {Performers}: {Conservative} {Loss} for {Semantic} {Segmentation} {Adaptation}},X,-,-,-,X
"{Stories from the {History} of {Czechoslovakia}, {A} {Serious} {Game} for {Teaching} {History} of the {Czech} {Lands} in the 20th {Century} – {Notes} on {Design} {Concepts} and {Design} {Process}}",X,-,-,-,X
{Introduction},X,-,-,-,X
{Creating a {Regional} and {Historical} {Streetscape} {Simulation} {System}},-,-,-,-,X
{A {Collaborative} {Science} {Learning} {Game} {Environment} for {Informal} {Science} {Education}:{DinoQuest} {Online}},X,-,-,-,X
{Combining {Ludology} and {Narratology} in an {Open} {Authorable} {Framework} for {Educational} {Games} for {Children}: the {Scenario} of {Teaching} {Preschoolers} with {Autism} {Diagnosis}},X,-,-,-,X
{Videogaming {Interaction} for {Mental} {Model} {Construction} in {Learners} {Who} {Are} {Blind}},X,-,-,-,X
{Ultra {Low} {Cost} {Eye} {Gaze} {Tracking} for {Virtual} {Environments}},X,-,-,-,X
{Usability {Dimensions} of {Simulated} {Detectors} for {Improvised} {Explosive} {Devices}},X,-,-,-,X
{Don’t {Text} {While} {Driving}: {The} {Effect} of {Smartphone} {Text} {Messaging} on {Road} {Safety} during {Simulated} {Driving}},X,-,-,-,X
{Squad {Overmatch}: {Using} {Virtual} {Technology} to {Enhance} {Live} {Training} {Environments}},X,-,-,-,X
{Transferring an {Educational} {Board} {Game} to a {Multi}-user {Mobile} {Learning} {Game} to {Increase} {Shared} {Situational} {Awareness}},X,-,-,-,X
{Interactive {VR}-based {Visualization} for {Material} {Flow} {Simulations}},X,-,-,-,X
{A {Novel} {Way} of {Estimating} a {User}’s {Focus} of {Attention} in a {Virtual} {Environment}},X,-,-,-,X
{Rehabilitation of {Balance}-{Impaired} {Stroke} {Patients} {Through} {Audio}-{Visual} {Biofeedback}},X,-,-,-,X
{{RoboCup} {Rescue} {Simulation} {Innovation} {Strategy}},X,-,-,-,X
{Desertesejo (2000/2014): {Notes} on the {Restoration} {Process}},X,-,-,-,X
{Digital {Map} {Table} {VR}: {Bringing} an {Interactive} {System} to {Virtual} {Reality}},X,-,-,-,X
{Enabling {Immunology} {Learning} in {Virtual} {Reality} {Through} {Storytelling} and {Interactivity}},X,-,-,-,X
{Domain {Adaptation} {Through} {Synthesis} for {Unsupervised} {Person} {Re}-identification},X,-,-,-,X
{{MinerGate}: {A} {Novel} {Generic} and {Accurate} {Defense} {Solution} {Against} {Web} {Based} {Cryptocurrency} {Mining} {Attacks}},X,-,-,-,X
{Projection {Simulator} to {Support} {Design} {Development} of {Spherical} {Immersive} {Display}},X,-,-,-,X
{Ora – {Save} the {Forest}! {Designing} a {Social} {Impact} {Game}},X,-,-,-,X
{Usability of the {Virtual} {Agent} {Interaction} {Framework}},X,-,-,-,X
{Undergraduate {Research} {Opportunities} in {OSS}},-,-,-,-,X
{“{Keep} {What} {You}’ve {Earned}”: {Encouraging} {Sailors} to {Drink} {Responsibly}},X,-,-,-,X
{Multiuser {Virtual} {Reality} for {Designing} and {Editing} {3D} {Models}},-,-,-,-,X
{{VLC}-{Enabled} {Human}-{Aware} {Building} {Management} {System}},X,-,-,-,X
{An {Interactive} {Cognitive}-{Motor} {Training} {System} for {Children} with {Intellectual} {Disability}},X,-,-,-,X
{Future {Trends} in {Game} {Authoring} {Tools}},X,-,-,-,-
{{VIGOR}: {Virtual} {Interaction} with {Gravitational} {Waves} to {Observe} {Relativity}},-,-,-,-,X
{Towards {Biomedical} {Problem} {Solving} in a {Game} {Environment}},X,-,-,-,X
{New {Interaction} {Concepts} by {Using} the {Wii} {Remote}},-,-,-,-,X
{Domain {Adaptive} {Semantic} {Segmentation} {Through} {Structure} {Enhancement}},X,-,-,-,X
{Interactive {Narrative} in {Augmented} {Reality}: {An} {Extended} {Reality} of the {Holocaust}},X,-,-,-,X
{Understanding and {Improving} {Collaborative} {Skills} {Among} {Individuals} with {ASD} in a {Distributed} {Virtual} {Environment}},X,-,-,-,X
{Touching the {Void} {Revisited}: {Analyses} of {Touch} {Behavior} on and above {Tabletop} {Surfaces}},X,-,-,-,X
{Usability {Enhancement} and {Functional} {Extension} of a {Digital} {Tool} for {Rapid} {Assessment} of {Risk} for {Autism} {Spectrum} {Disorders} in {Toddlers} {Based} on {Pilot} {Test} and {Interview} {Data}},-,-,-,-,X
{The {Design} {Considerations} of a {Virtual} {Reality} {Application} for {Heart} {Anatomy} and {Pathology} {Education}},X,-,-,-,X
{Evaluation of {Autonomous} {Approaches} {Using} {Virtual} {Environments}},X,-,-,-,X
{The {APEX} {Framework}: {Prototyping} of {Ubiquitous} {Environments} {Based} on {Petri} {Nets}},X,-,-,-,X
{Distributed {Unity} {Applications}},-,-,-,-,X
{E-{Learning} of {IT} {Security} {Threats}: {A} {Game} {Prototype} for {Children}},X,-,-,-,X
{Interface {Design} to {Support} {Situation} {Awareness} in {Virtual} {Puppetry}},X,-,-,-,X
{Emotional {Intelligent} {Contents}: {Expressing} {User}’s {Own} {Emotion} within {Contents}},X,-,-,-,X
{Virtual {Display} of {3D} {Computational} {Human} {Brain} {Using} {Oculus} {Rift}},-,-,-,-,X
{Recovery {Prediction} in the {Framework} of {Cloud}-{Based} {Rehabilitation} {Exergame}},X,-,-,-,X
{Head-{Mounted} {Displays} in {Industrial} {AR}-{Applications}: {Ready} for {Prime} {Time}?},X,-,-,-,X
{The {Performance} of {Self} in the {Context} of {Shopping} in a {Virtual} {Dressing} {Room} {System}},X,-,-,-,X
{A {Grammar}-{Based} {Framework} for {Rehabilitation} {Exergames}},-,-,-,-,X
{Sense of {Presence} and {Metacognition} {Enhancement} in {Virtual} {Reality} {Exposure} {Therapy} in the {Treatment} of {Social} {Phobias} and the {Fear} of {Flying}},X,-,-,-,X
{Applying {Virtual} {Reality} in {City} {Planning}},X,-,-,-,X
{From {CAVE2TM} to {Mobile}: {Adaptation} of {Hearts} and {Minds} {Virtual} {Reality} {Project} {Interaction}},-,-,-,-,X
{Simulation of a {Motivated} {Learning} {Agent}},-,-,-,-,X
{Simulation of {Reconfigurable} {Assembly} {Cells} with {Unity3D}},-,-,-,-,X
{Song of {Red} {Pine} {Woods} - {Design} and {Study} of {Digital} {Picture} {Books} for {Preschool} {Children} on {iPad}},X,-,-,-,X
{{SMART} {VIEW}: {A} {Serious} {Game} {Supporting} {Spatial} {Orientation} of {Subjects} with {Cognitive} {Impairments}},X,-,-,-,X
{Mixed {Reality} and {Volumetric} {Video} in {Cultural} {Heritage}: {Expert} {Opinions} on {Augmented} and {Virtual} {Reality}},X,-,-,-,X
{From {Cyber}-{Security} {Deception} to {Manipulation} and {Gratification} {Through} {Gamification}},X,-,-,-,X
{Revolutionizing the {Visual} {Design} of {Capture} the {Flag} ({CTF}) {Competitions}},-,-,-,-,X
{{DCAN}: {Dual} {Channel}-{Wise} {Alignment} {Networks} for {Unsupervised} {Scene} {Adaptation}},X,-,-,-,X
{Design and {Evaluation} of {Three} {Interaction} {Models} for {Manipulating} {Internet} of {Things} ({IoT}) {Devices} in {Virtual} {Reality}},X,-,-,-,X
{Co-design of a {Virtual} {Training} {Tool} with {Emergency} {Management} {Stakeholders} for {Extreme} {Weather} {Response}},X,-,-,-,X
{{3D} {Interaction} for {Computer} {Science} {Educational} {VR} {Game}},-,-,-,-,X
{Measuring {Latency} in {Virtual} {Reality} {Systems}},X,-,-,-,X
{{VoTrE}: {A} {Vocational} {Training} and {Evaluation} {System} to {Compare} {Training} {Approaches} for the {Workplace}},X,-,-,-,X
{A {Novel} {3D} {Wheelchair} {Simulation} {System} for {Training} {Young} {Children} with {Severe} {Motor} {Impairments}},X,-,-,-,X
{The {Visual} {Design} and {Implementation} of an {Embodied} {Conversational} {Agent} in a {Shared} {Decision}-{Making} {Context} ({eCoach})},X,-,-,-,X
{Initial {Evaluation} of a {Modern} {Augmented} {Reality} {Display} for {Deployable} {Embedded} {Training} {System}},X,-,-,-,X
{Application of {Virtual} {Environments} for {Infantry} {Soldier} {Skills} {Training}: {We} are {Doing} it {Wrong}},X,-,-,-,X
{Strategies for {Inclusive} {End}-{User} {Co}-{Creation} of {Inclusive} {Storytelling} {Games}},X,-,-,-,X
{Responses during {Facial} {Emotional} {Expression} {Recognition} {Tasks} {Using} {Virtual} {Reality} and {Static} {IAPS} {Pictures} for {Adults} with {Schizophrenia}},X,-,-,-,X
{Bio-reckoning: {Perceptual} {User} {Interface} {Design} for {Military} {Training}},X,-,-,-,X
{Tourism and {Virtual} {Reality}: {User} {Experience} {Evaluation} of a {Virtual} {Environment} {Prototype}},X,-,-,-,X
{Live {Probabilistic} {Editing} for {Virtual} {Cinematography}},X,-,-,-,X
{Enhancing {Independent} {Auditory} and {Speechreading} {Training} – {Two} {Finnish} {Free} {Mobile} {Applications} {Constructed} for {Deaf} and {Hard} of {Hearing} {Children} and {Adults}},X,-,-,-,X
{Oculus {Rift} {Versus} {HTC} {Vive}: {Usability} {Assessment} from a {Teleportation} {Task}},X,-,-,-,X
{Effective and {Efficient} {Tracking} and {Ego}-{Motion} {Recovery} for {Mobile} {Cameras}},X,-,-,-,X
{{HCI} {Prototyping} and {Modeling} of {Future} {Psychotherapy} {Technologies} in {Second} {Life}},X,-,-,-,X
{Virtual {Personas}: {A} {Case} {Study} on {Truck} {Cabin} {Design}},X,-,-,-,X
{Multi-platform {Semantic} {Representation} of {Interactive} {3D} {Content}},X,-,-,-,X
{{ADITHO} – {A} {Serious} {Game} for {Training} and {Evaluating} {Medical} {Ethics} {Skills}},X,-,-,-,X
{{3D} {Virtual} {Worlds}: {An} {Ethnography} of {Key} {Artifacts} and {Processes}},X,-,-,-,X
{Investigating the {Effect} of {Different} {Autonomy} {Levels} on {User} {Acceptance} and {User} {Experience} in {Self}-driving {Cars} with a {VR} {Driving} {Simulator}},X,-,-,-,X
{Virtual {Dome} {System} {Using} {HMDs}: {An} {Alternative} to the {Expensive} and {Less} {Accessible} {Physical} {Domes}},X,-,-,-,X
{Assembly of the {Virtual} {Model} with {Real} {Hands} {Using} {Augmented} {Reality} {Technology}},-,-,-,-,X
{An {Empirical} {Investigation} of {Gaze} {Selection} in {Mid}-{Air} {Gestural} {3D} {Manipulation}},X,-,-,-,X
{A {Mobile} {Game} {Controller} {Adapted} to the {Gameplay} and {User}’s {Behavior} {Using} {Machine} {Learning}},X,-,-,-,X
{A {Study} on the {Design} of {Augmented} {Reality} {User} {Interfaces} for {Mobile} {Learning} {Systems} in {Heritage} {Temples}},X,-,-,-,X
{A {Case} {Study} on {Using} {RTF} for {Developing} {Multi}-player {Online} {Games}},X,-,-,-,X
{Going to a {Virtual} {Supermarket}: {Comparison} of {Different} {Techniques} for {Interacting} in a {Serious} {Game} for the {Assessment} of the {Cognitive} {Status}},X,-,-,-,X
{Evaluation of {Information} {Visualization} {Interaction} {Techniques} {Using} {Gestures} and {Widgets} in {3D} {Environments}},X,-,-,-,X
{Digital {Empathic} {Games} and {Their} {Relation} with {Mortality}: {Analysis} of {Discussion} {Forums}},X,-,-,-,X
{{MoCap}-{Based} {Adaptive} {Human}-{Like} {Walking} {Simulation} in {Laser}-{Scanned} {Large}-{Scale} as-{Built} {Environments}},X,-,-,-,X
{Augmented {Reality} {Based} {Guidance} for {Solving} {Rubik}’s {Cube} {Using} {HMD}},X,-,-,-,X
{Pictures at an {Exhibition}: {Design} of a {Hybrid} {Puppetry} {Performance} {Piece}},X,-,-,-,X
{Design of a {Virtual} {Reality} {Driving} {Environment} to {Assess} {Performance} of {Teenagers} with {ASD}},-,-,-,-,X
{Robust {Hybrid} {Tracking} with {Life}-{Size} {Avatar} in {Mixed} {Reality} {Environment}},X,-,-,-,X
{An {After} {Action} {Review} {Engine} for {Training} in {Multiple} {Areas}},X,-,-,-,X
{Immersive {Telepresence} {Framework} for {Remote} {Educational} {Scenarios}},X,-,-,-,X
{Effective {Use} of {Synthetic} {Data} for {Urban} {Scene} {Semantic} {Segmentation}},X,-,-,-,X
{Serious {Game} for the {Evaluation} of {Cognitive} {Function} of {Kids}},X,-,-,-,X
{Multimodal {Head}-{Mounted} {Virtual}-{Reality} {Brain}-{Computer} {Interface} for {Stroke} {Rehabilitation}},X,-,-,-,X
{A {New} {Visualization} {Approach} to {Re}-{Contextualize} {Indigenous} {Knowledge} in {Rural} {Africa}},-,-,-,-,X
{A {New} {Chess} {Variant} for {Gaming} {AI}},X,-,-,-,X
{Brain {eRacing}: {An} {Exploratory} {Study} on {Virtual} {Brain}-{Controlled} {Drones}},X,-,-,-,X
