Document Title,EC1,EC2,EC3,EC4,EC5
Foveated Walking: Translational Ego-Movement and Foveated Rendering,X,-,-,-,-
Integrating Stand-Alone New Media Technologies Such as Games and Virtual and Augmented Reality Software into Learning Management Systems: Integrating Stand-Alone Media Software into LMSs,-,-,-,-,-
Computer Graphics and Extended Reality Courses for the Programmophobic,X,-,-,-,-
Posture Parameters for Personality-Enhanced Virtual Audiences,X,-,-,-,-
An Open-Source Framework Using WebRTC for Online Multiplayer Gaming,-,-,-,-,-
LLMR: Real-time Prompting of Interactive Worlds using Large Language Models,X,-,-,-,-
Advances in Real Time Audio Rendering - Part 2,X,-,-,-,-
Bridging the Domain Gap between Synthetic and Real-World Data for Autonomous Driving,X,-,-,-,-
Realistic 3D Modeling Method of Virtual Traditional Chinese Medicine,X,-,-,-,-
Deep Learning-based Human Pose Estimation: A Survey,X,-,-,-,-
A Virtual Reality Talking Avatar for Investigative Interviews of Maltreat Children,X,-,-,-,-
Long-Term Person Re-identification with Dramatic Appearance Change: Algorithm and Benchmark,X,-,-,-,-
DNN-based SLAM Tracking Error Online Estimation,X,-,-,-,-
AKN_Regie: bridging digital and performing arts,X,-,-,-,-
Artificial Intelligence for Web 3.0: A Comprehensive Survey,X,-,-,-,-
Performance and Navigation Behavior of using Teleportation in VR First-Person Shooter Games,X,-,-,-,-
Comparative Study on Intelligent Driving Path Planning Based on Self-Implemented CNN and Transfer Learning Models,X,-,-,-,-
Experimenting with Artificial Intelligence: Programming Pathfinding Algorithms in C++ with Unreal Engine 5,-,-,X,-,-
JaxMARL: Multi-Agent RL Environments and Algorithms in JAX,X,-,-,-,-
NeARportation: A Remote Real-time Neural Rendering Framework,X,-,-,-,-
Physics-Based Hand-Object-Interaction for Immersive Environments,X,-,-,-,-
HoloBoard: A gamified balance board experience,X,-,-,-,-
"Is Resistance Futile?: Early Career Game Developers, Generative AI, and Ethical Skepticism",X,-,-,-,-
Building LLM-based AI Agents in Social Virtual Reality,X,-,-,-,-
GTP Benchmarks for Gradual Typing Performance,X,-,-,-,-
Joint UV Optimization and Texture Baking,X,-,-,-,-
A Tale of Two Productions: A Christmas Carol On Stage and in VR,X,-,-,-,-
More Than Killmonger Locs: A Style Guide for Black Hair (in Computer Graphics),X,-,-,-,-
The Puzzle Forecast: Tutorial Analytics Predict Trial and Error,X,-,-,-,-
OpenMPD: A Low-Level Presentation Engine for Multimodal Particle-Based Displays,X,-,-,-,-
Investigating Applicability Heuristics of Answer Set Programming in Game Development: Use Cases and Empirical Study,X,-,-,-,-
Data Issues in High-Definition Maps Furniture – A Survey,X,-,-,-,-
Invisible Textures: Comparing Machine and Human Perception of Environment Texture for AR,X,-,-,-,-
Static Analysis for Automated Identification of Valid Game Actions During Exploration,X,-,-,-,-
Virtual Reality System for Inspection and Training in Wheel Loader,X,-,-,-,-
BStick: Hand-held Haptic Controller for Virtual Reality Applications,X,-,-,-,-
Interactive Gamification for New Experimental Music: Initial Findings,X,-,-,-,-
Virtual Reality Solutions Employing Artificial Intelligence Methods: A Systematic Literature Review,X,-,-,-,-
Representation Bias in Data: A Survey on Identification and Resolution Techniques,X,-,-,-,-
"An Extensible, Data-Oriented Architecture for High-Performance, Many-World Simulation",X,-,-,-,-
Using Augmented Reality to Assess the Role of Intuitive Physics in the Water-Level Task,X,-,-,-,-
The Human-Centric Metaverse: A Survey,X,-,-,-,-
Development in times of hype: How freelancers explore Generative AI?,X,-,-,-,-
"Imagining a Future of Designing with AI: Dynamic Grounding, Constructive Negotiation, and Sustainable Motivation",X,-,-,-,-
3DCrewCap: Applying 3D Volumetric video capture for XR helicopter rescue crew training and simulation.,X,-,-,-,-
The Vulkan Computer Graphics API,-,-,X,-,-
Caught in the Game: On the History and Evolution of Web Browser Gaming,-,-,-,-,-
Prompt Wrangling: On Replication and Generalization in Large Language Models for PCG Levels,X,-,-,-,-
Game&nbsp;State Learning via Game&nbsp;Scene&nbsp;Augmentation,X,-,-,-,-
Virtual Dream Reliving: Exploring Generative AI in Immersive Environment for Dream Re-experiencing,X,-,-,-,-
FoodChoices(Q): Exploring the Design of a Serious Game Proxy for Likert-style Survey Questionnaires,X,-,-,-,-
Virtual Wheelchair Accessibility Evaluation Tool for Virtual Environments: Design and Preliminary Tests,X,-,-,-,-
Modeling Reactive Game Agents Using the Cell-Devs Modeling Formalism,X,-,-,-,-
Multimodality in VR: A Survey,X,-,-,-,-
Code Impact Beyond Disciplinary Boundaries: Constructing a Multidisciplinary Dependency Graph and Analyzing Cross-Boundary Impact,X,-,-,-,-
Comparison of Human-Drone Distancing Studies Across In-person and Online Modalities,X,-,-,-,-
Sound Designer-Generative AI Interactions: Towards Designing Creative Support Tools for Professional Sound Designers,X,-,-,-,-
Introducing Controlled Variability in Programming Assignments,X,-,-,-,-
"Seminal Graphics Papers: Pushing the Boundaries, Volume 2",X,-,-,-,-
Comparison of Spatial Visualization Techniques for Radiation in Augmented Reality,X,-,-,-,-
Prevailing Technologies Augmented Reality Software with Hardware for E-Entertainment and E-Learning Purposes: A Survey,X,-,-,-,-
EEG-Based Brain-Computer Interactions in Immersive Virtual and Augmented Reality: A Systematic Review,X,-,-,-,-
"PAINT 2023: Proceedings of the 2nd ACM SIGPLAN International Workshop on Programming Abstractions and Interactive Notations, Tools, and Environments",X,-,-,-,-
Exploring Performance in Complex Search-and-Retrieve Tasks: A Comparative Analysis of PPO and GAIL Robots,X,-,-,-,-
Evaluation of User Interfaces for Three-Dimensional Locomotion in Virtual Reality,X,-,-,-,-
Building a Real-Time System on GPUs for Simulation and Rendering of Realistic 3D Liquid in Video Games,-,-,-,-,-
Swarm Robotics: A Survey from a Multi-Tasking Perspective,X,-,-,-,-
Research on the Reconstruction of Ming Dynasty History Based on AIGC,X,-,-,-,-
Altered States of Consciousness in Human-Computer Interaction: A Review,X,-,-,-,-
Towards Unified Text-based Person Retrieval: A Large-scale Multi-Attribute and Language Search Benchmark,X,-,-,-,-
Enabling Social Robots to Perceive and Join Socially Interacting Groups using F-formation: A Comprehensive Overview,X,-,-,-,-
Toward a VR-Native Live Programming Environment,X,-,-,-,-
"A Review on Tools, Mechanics, Benefits, and Challenges of Gamified Software Testing",X,-,-,-,-
A Review of Olfactory Display Designs for Virtual Reality Environments,X,-,-,-,-
Picture This: AI-Assisted Image Generation as a Resource for Problem Construction in Creative Problem-Solving,X,-,-,-,-
A Survey on Automated Driving System Testing: Landscapes and Trends,X,-,-,-,-
"Programming '24: Companion Proceedings of the 8th International Conference on the Art, Science, and Engineering of Programming",X,-,-,-,-
Enhancing educational resources through augmented reality-based assessment materials: a comprehensive study,X,-,-,-,-
Leveraging Game Design Activities for Middle Grades AI Education in Rural Communities,X,-,-,-,-
Partners Who Grow Together: Collaborative Machine Learning in Video Game AI Design,-,-,-,-,-
Perceptions of Hybrid Lighting for Virtual Reality,X,-,-,-,-
A Temporal Coherent Topology Optimization Approach for Assembly Planning of Bespoke Frame Structures,X,-,-,-,-
Video Game Bad Smells: What They Are and How Developers Perceive Them,X,-,-,-,-
"A Survey on Synchronous Augmented, Virtual, andMixed Reality Remote Collaboration Systems",X,-,-,-,-
A Survey and Taxonomy of Latency Compensation Techniques for Network Computer Games,X,-,-,-,-
elessDT: A Digital Twin Platform for Real-Time Evaluation of Wireless Software Applications,X,-,-,-,-
Integrated Information System for 3D Interactive Reconstruction of an Archaeological Site,X,-,-,-,-
Reading to write code: an experience report of a reverse engineering and modeling course,X,-,-,-,-
Classifying edits to variability in source code,X,-,-,-,-
Building Verisimilitude in VR With High-Fidelity Local Action Models: A Demonstration Supporting Road-Crossing Experiments,X,-,-,-,-
AIMLSystems '22: Proceedings of the Second International Conference on AI-ML Systems,X,-,-,-,-
Cardistry: Exploring a GPT Model Workflow as an Adapted Method of Gaminiscing,X,-,-,-,-
"Record, Review, Edit, Apply: A Motion Data Pipeline for Virtual Reality Development &amp; Design",X,-,-,-,-
ChatGPT GameJam: Unleashing the power of Large Language Models for Game Jams,X,-,-,-,-
A Human-Annotated Video Dataset for Training and Evaluation of 360-Degree Video Summarization Methods,X,-,-,-,-
XRSpotlight: Example-based Programming of XR Interactions using a Rule-based Approach,X,-,-,-,-
A Large-Scale Synthetic Gait Dataset Towards in-the-Wild Simulation and Comparison Study,X,-,-,-,-
"I-DO '24: Proceedings of the 2024 International Conference on Information Technology, Data Science, and Optimization",X,-,-,-,-
"""\""I consider VR Table Tennis to be my secret weapon!\"": An Analysis of the VR Table Tennis Players' Experiences Outside the Lab""",X,-,-,-,-
Development and Usability Evaluation of Transitional Cross-Reality Interfaces,X,-,-,-,-
Comparison of Target Prediction in VR and MR using Inverse Reinforcement Learning,X,-,-,-,-
Comparative Analysis of Facial Expression Recognition Systems for Evaluating Emotional States in Virtual Humans,X,-,-,-,-
Enabling Non-Technical Domain Experts to Create Robot-Assisted Therapeutic Scenarios via Visual Programming,X,-,-,-,-
MoonBase VR: Learning to program in a virtual reality game,X,-,-,-,-
The Effects of Human-like Modifications to Heuristic Action Evaluation in Video Game Pathfinding,X,-,-,-,-
Tibetan Jiu Chess Game Algorithm based on Expert Knowledge,X,-,-,-,-
AdaptiX - A Transitional XR Framework for Development and Evaluation of Shared Control Applications in Assistive Robotics,X,-,-,-,-
PumpVR: Rendering the Weight of Objects and Avatars through Liquid Mass Transfer in Virtual Reality,X,-,-,-,-
"Bodylab: in virtuo sculpting, painting and performing of full-body avatars",X,-,-,-,-
FovOptix: Human Vision-Compatible Video Encoding and Adaptive Streaming in VR Cloud Gaming,X,-,-,-,-
Exploring Virtual Reality Game Development as an Interactive Art Medium: A Case Study with the Community Game Development Toolkit,-,-,-,-,X
Virtual Rehearsal Suite: An Environment and Framework for Virtual Performance Practice,X,-,-,-,-
EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,X,-,-,-,-
Preserving Southern Thai Traditional Manora Dance Through Mobile Role-Playing Game Technology,X,-,-,-,-
KUI '23: Proceedings of the 20th International Conference on Culture and Computer Science: Code and Materiality,X,-,-,-,-
ICIGP '23: Proceedings of the 2023 6th International Conference on Image and Graphics Processing,X,-,-,-,-
Accessible to Whom? Bringing Accessibility to Blocks,X,-,-,-,-
"ASPLOS '24: Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",X,-,-,-,-
The Impact of Intelligent Pedagogical Agents’ Interventions on Student Behavior and Performance in Open-Ended Game Design Environments,-,-,-,-,X
A Quality of Experience Evaluation of an Interactive Multisensory 2.5D Virtual Reality Art Exhibit,X,-,-,-,-
Augmented Reality in Books: An Evaluation of Alan Turing Book,X,-,-,-,-
GeoAI '23: Proceedings of the 6th ACM SIGSPATIAL International Workshop on AI for Geographic Knowledge Discovery,X,-,-,-,-
Evaluation of simplified 3D CAD data for conveying industrial assembly instructions via Augmented reality,X,-,-,-,-
Promoting Eco-Friendly Behaviour through Virtual Reality - Implementation and Evaluation of Immersive Feedback Conditions of a Virtual CO2 Calculator,X,-,-,-,-
SIGGRAPH '24: ACM SIGGRAPH 2024 Educator's Forum,X,-,-,-,-
The Ink Splotch Effect: A Case Study on ChatGPT as a Co-Creative Game Designer,X,-,-,-,-
Synthesizing Game Levels for Collaborative Gameplay in a Shared Virtual Environment,X,-,-,-,-
Small Latency Variations Do Not Affect Player Performance in First-Person Shooters,X,-,-,-,-
"Cohabitant: The Design, Implementation, and Evaluation of a Virtual Reality Application for Interfaith Learning and Empathy Building",X,-,-,-,-
Creative Insights into Motion: Enhancing Human Activity Understanding with 3D Data Visualization and Annotation,X,-,-,-,-
Identifying Hand-based Input Preference Based on Wearable EEG,X,-,-,-,-
"Cascade: A Meta-language for Change, Cause and Effect",X,-,-,-,-
SIGGRAPH '24: ACM SIGGRAPH 2024 Labs,X,-,-,-,-
"Small, personal videogames about mental health: An informal survey of Bitsy games",X,-,-,-,-
Synthetic Data for Deep Learning in Computer Vision &amp; Medical Imaging: A Means to Reduce Data Bias,X,-,-,-,-
EASE '23: Proceedings of the 27th International Conference on Evaluation and Assessment in Software Engineering,X,-,-,-,-
SIGGRAPH '24: ACM SIGGRAPH 2024 Real-Time Live!,X,-,-,-,-
AR-in-VR simulator: A toolbox for rapid augmented reality simulation and user research,X,-,-,-,-
Promptable Game Models: Text-guided Game Simulation via Masked Diffusion Models,X,-,-,-,-
"A-TEST 2022: Proceedings of the 13th International Workshop on Automating Test Case Design, Selection and Evaluation",X,-,-,-,-
A Multi-Objective Optimization Framework for Redirecting Pointing Gestures in Remote-Local Mixed/Augmented Reality,X,-,-,-,-
Physical activities gamification with smart board,X,-,-,-,-
Real-Time Procedural Generation with GPU Work Graphs,X,-,-,-,-
Performance Analysis of Saccades for Primary and Confirmatory Target Selection,X,-,-,-,-
"PAINT 2022: Proceedings of the 1st ACM SIGPLAN International Workshop on Programming Abstractions and Interactive Notations, Tools, and Environments",X,-,-,-,-
UnitEye: Introducing a User-Friendly Plugin to Democratize Eye Tracking Technology in Unity Environments,-,-,-,-,X
"Grab It, While You Can: A VR Gesture Evaluation of a Co-Designed Traditional Narrative by Indigenous People",X,-,-,-,-
Virtual Cinematography with Unreal Engine: Lean how Unreal Engine's virtual cinematography framework has given rise to new and advanced techniques in film and animation studios.,-,-,-,-,X
A non-invasive middleware for games adaptation and motor rehabilitation controls,X,-,-,-,-
Revolutionizing Learning: An Interactive VR Application for Solids of Revolution,X,-,-,-,-
An Animator-Friendly Chain Simulator for In-Game Animations at Blizzard Entertainment,X,-,-,-,-
GAS '24: Proceedings of the ACM/IEEE 8th International Workshop on Games and Software Engineering,-,-,-,-,X
Wow! I Have Tiny Hands: Design And Evaluation Of Adaptive Virtual Hands For Small Object Selection Within Arms Length In Dense Virtual Environment,X,-,-,-,-
A Proposal of OCR-based User Positioning Method in Indoor Navigation System Using Unity and Smartphone (INSUS),X,-,-,-,-
Zenctuary VR: Simulating Nature in an Interactive Virtual Reality Application: Description of the design process of creating a garden in Virtual Reality with the aim of testing its restorative effects.,X,-,-,-,-
GameDevDojo - An Educational Game for Teaching Game Development Concepts,X,-,-,-,-
End-User Development for Human-Robot Interaction: Results and Trends in an Emerging Field,X,-,-,-,-
Waiting to Play - Measuring Game Load Times and their Effects on Player Quality of Experience,-,-,-,-,X
"Investigation into Recording, Replay and Simulation of Interactions in Virtual Reality",X,-,-,-,-
Emerging Advanced Technologies for Game Engineering,-,-,-,-,-
Authoring Games with Tile Rewrite Rule Behavior Trees,X,-,-,-,-
Exploring the Dichotomy of Nature and Tech Through an Interactive Media Assignment,X,-,-,-,-
Knowledge Net: Fostering Children’s Understanding of Knowledge Representations Through Creative Making and Embodied Interaction in a Museum Exhibit,X,-,-,-,-
SIGGRAPH '24: ACM SIGGRAPH 2024 Posters,X,-,-,-,-
Research on the design of third-person 3D action role-playing games,X,-,-,-,-
Broomrocket: Open Source Text-to-3D Algorithm for 3D Object Placement,X,-,-,-,-
Explaining Edits to Variability Annotations in Evolving Software Product Lines,X,-,-,-,-
Facial Animation at Scale: Producing facial animation for 24 hours of narrative content in “Horizon: Forbidden West”,X,-,-,-,-
Turaco: Complexity-Guided Data Sampling for Training Neural Surrogates of Programs,X,-,-,-,-
Avatar Tracking Control with Featherstone's Algorithm and Newton-Euler Formulation for Inverse Dynamics,X,-,-,-,-
Immersive gamification for education: No additional benefit gained from wearing a VR headset,X,-,-,-,-
BlueVR: Design and Evaluation of a Virtual Reality Serious Game for Promoting Understanding towards People with Color Vision Deficiency,X,-,-,-,-
"Visually Grounded Language Learning: A Review of Language Games, Datasets, Tasks, and Models",X,-,-,-,-
"A Journey of a 1,000 Kernels Begins with a Single Step: A Retrospective of Deep Learning on GPUs",X,-,-,-,-
RetroFit: Post-Facto Accessibility for Retro Games,X,-,-,-,-
"VALERIE22 - A photorealistic, richly metadata annotated dataset of urban environments",X,-,-,-,-
"Process, Roles, Tools, and Team: Understanding the Emerging Medium of Virtual Reality Theatre",X,-,-,-,-
Design Pattern for Reusing Immutable Methods in Object-Oriented Languages,X,-,-,-,-
Rapid Prototyping for XR,X,-,-,-,-
Conflict Simulation for Shared Autonomy in Autonomous Driving,X,-,-,-,-
A Pedagogical Virtual Reality Environment for Children in Early Childhood Education,X,-,-,-,-
Kaki: Efficient Concurrent Update Synthesis for SDN,X,-,-,-,-
sPellorama: An Immersive Prototyping Tool using Generative Panorama and Voice-to-Prompts,X,-,-,-,-
The Superhero Pose: Enhancing Physical Performance in Exergames by Embodying Celebrity Avatars in Virtual Reality,X,-,-,-,-
SVR '23: Proceedings of the 25th Symposium on Virtual and Augmented Reality,X,-,-,-,-
"Using TLS, UAV and MR methodologies for 3D Modelling and Historical Recreation of Religious Heritage Monuments",X,-,-,-,-
LumiMood: A Creativity Support Tool for Designing the Mood of a 3D Scene,X,-,-,-,-
A Pilot Study of the User Experience in an Augmented Reality Mobile App to Support Teaching of Hematology,X,-,-,-,-
Enhancing Indoor Thermal Comfort Education: A Virtual Reality Platform Introducing Fanger's Model,X,-,-,-,-
Widget Detection-Based Testing for Industrial Mobile Games,X,-,-,-,-
Enhancing Elderly Care through a 3D Interactive Simulation System in a Day Care Center,X,-,-,-,-
Close but Not Too Close: Distance and Relevance in Designing Games for Reflection,X,-,-,-,-
Recent Advancement in Education System Using AR Tools: A New Perspective,X,-,-,-,-
SIGGRAPH '24: ACM SIGGRAPH 2024 Talks,X,-,-,-,-
Teaching and Learning with Virtual Reality,X,-,-,-,-
"RavenBuild: Context, Relevance, and Dependency Aware Build Outcome Prediction",X,-,-,-,-
OUTFIT: Crowdsourced Data Feeding Noise Maps in Digital Twins,X,-,-,-,-
Immersive Visualization Interface for Endoscopy Analytics and Debriefing,X,-,-,-,-
SEEe Immersive Analytics System: Enhancing Data Analysis Experience within Complex Data Visualization Environments,X,-,-,-,-
Transfer learning of cars behaviors from reality to simulation applications,X,-,-,-,-
Direct Feedforward Techniques for the ViRgilites System,X,-,-,-,-
SIGGRAPH '24: ACM SIGGRAPH 2024 Immersive Pavilion,X,-,-,-,-
Towards Flexible Authoring and Personalization of Virtual Reality Applications for Training,X,-,-,-,-
Research on the Implementation of Advertising Design Teaching Based on Unity3D Development Platform and Web3D Technology,-,-,-,-,X
From Pixels to Play: Opportunities and Challenges of a Diverse and Democratized Games Industry,X,-,-,-,-
Combined Safety and Cybersecurity Testing Methodology for Autonomous Driving Algorithms,X,-,-,-,-
Exploring Stage Lighting Education in Metaverse,X,-,-,-,-
A framework for neuromotor and neurofunctional rehabilitation using multi-agent systems,X,-,-,-,-
Towards Generating Labeled Property Graphs for Comprehending C#-based Software Projects,X,-,-,-,-
FaSE4Games 2024: Proceedings of the 1st ACM International Workshop on Foundations of Applied Software Engineering for Games,-,-,-,-,X
Demystifying Mobile Extended Reality in Web Browsers: How Far Can We Go?,X,-,-,-,-
Demo: NetVision: Efficient Visualization Front-End for Packet-level Discrete-Event Network Simulation,X,-,-,-,-
Memory Management on Mobile Devices,X,-,-,-,-
Pedagogical strategies for teaching Virtual Production pipelines,X,-,-,-,-
Generative Agents: Interactive Simulacra of Human Behavior,X,-,-,-,-
Amplify AR HUD User-Experience with Real-World Sunlight Simulation in Virtual Scene,X,-,-,-,-
SBGames '23: Proceedings of the 22nd Brazilian Symposium on Games and Digital Entertainment,X,-,-,-,-
E4UnityIntegration-MIT: An Open-Source Unity Plug-in for Collecting Physiological Data using Empatica E4 during Gameplay,-,-,-,-,-
Databases Without Databases: Projects for Including Database Concepts in Interdisciplinary Curricula with LINQ,X,-,-,-,-
SMPL: A Skinned Multi-Person Linear Model,X,-,-,-,-
Platforms and Tools for SIA Research and Development,X,-,-,-,-
SynPeDS: A Synthetic Dataset for Pedestrian Detection in&nbsp;Urban&nbsp;Traffic&nbsp;Scenes,X,-,-,-,-
MobileGravity: Mobile Simulation of a High Range of Weight in Virtual Reality,X,-,-,-,-
Introducing Virtual Reality to Undergraduate Students: A Hybrid Approach,X,-,-,-,-
Augmented Reality Visualization of Menu Items using Image Reconstruction,X,-,-,-,-
RuleCraft: an End-User Development Hub for Education,X,-,-,-,-
Language Urban Odyssey: A Serious Game for Enhancing Second Language Acquisition through Large Language Models,X,-,-,-,-
Deinonychus and The Cow – Enhancing Museum Exhibitions Through the Use of Mixed Reality,X,-,-,-,-
Development and Application of Virtual Simulation Teaching System for Mechanical Disassembly Based on Unity3D,X,-,-,-,-
SVR '22: Proceedings of the 24th Symposium on Virtual and Augmented Reality,X,-,-,-,-
The Curation Tree: A Lightweight Behavior Tree Framework for Implementing Puzzle and Narrative Games,X,-,-,-,-
User Study-based Models of Game Player Quality of Experience with Frame Display Time Variation,X,-,-,-,-
Xperisight: Parallelizing Extended Reality Studies Without Losing Control,X,-,-,-,-
Boosting Motivation in Sports with Data-Driven Visualizations in VR,X,-,-,-,-
Towards automated video game testing: still a long way to go,X,-,-,-,-
NovelGym: A Flexible Ecosystem for Hybrid Planning and Learning Agents Designed for Open Worlds,X,-,-,-,-
Advancing Dynamic Hand Gesture Recognition in Driving Scenarios with Synthetic Data,X,-,-,-,-
VAL: Interactive Task Learning with GPT Dialog Parsing,X,-,-,-,-
Advancing STEM Education in Primary Schools with an Integrated System of 3D Games,X,-,-,-,-
Combination of Augmented Reality Based Brain-Computer Interface and EyeTracking for Control of a Multi-Robot System,X,-,-,-,-
Case study of 3D Interactive Design of Nanjing Tongji Gate Wall,X,-,-,-,-
Sampling the Glitch Spectrum: Exploring the Architecture of Digital Media,X,-,-,-,-
Integrating Mid-Air Gestures into an Extended Reality Application: A Methodological Approach,X,-,-,-,-
Re-architecting the virtual human toolkit: towards an interoperable platform for embodied conversational agent research and development,X,-,-,-,-
Efficient Position-Based Deformable Colon Modeling for Endoscopic Procedures Simulation,X,-,-,-,-
Toward Scalable and Controllable AR Experimentation,X,-,-,-,-
Virtual MultiView Panels for Distant Object Interaction and Navigation in Virtual Reality,X,-,-,-,-
DreamCraft: Text-Guided Generation of Functional 3D Environments in Minecraft,X,-,-,-,-
SIGGRAPH '24: ACM SIGGRAPH 2024 Emerging Technologies,X,-,-,-,-
A Virtual Environment for Collaborative Inspection in Additive Manufacturing,X,-,-,-,-
EvolvingBehavior: Towards Co-Creative Evolution of Behavior Trees for Game NPCs,-,-,-,-,-
Perceptual Visibility Model for Temporal Contrast Changes in Periphery,X,-,-,-,-
Intrinsic Image Decomposition via Ordinal Shading,X,-,-,-,-
Learning to Detect Fallen People in Virtual Worlds,X,-,-,-,-
Youth Homelessness: Researching VR as a Tool for Empathy,X,-,-,-,-
Towards Developing a Virtual Guitar Instructor through Biometrics Informed Human-Computer Interaction,X,-,-,-,-
Fostering Collaboration and Advancing Research in Software Engineering and Game Development for Serious Contexts,X,-,-,-,-
Flexible Photorealistic VR Training System for Electrical Operators,X,-,-,-,-
Variability-Aware Differencing with DiffDetective,X,-,-,-,-
Enhancing Visibility in Nighttime Haze Images Using Guided APSF and Gradient Adaptive Convolution,X,-,-,-,-
CharacterMeet: Supporting Creative Writers' Entire Story Character Construction Processes Through Conversation with LLM-Powered Chatbot Avatars,X,-,-,-,-
OperAR: Using an Augmented Reality Agent to Enhance Children's Interactive Intangible Cultural Heritage Experience of the Peking Opera,X,-,-,-,-
Mimic: In-Situ Recording and Re-Use of Demonstrations to Support Robot Teleoperation,X,-,-,-,-
The V-Lab VR Educational Application Framework: A Beacon Application of the XR2Learn Project,X,-,-,-,-
ZERO: A Generic Open-Source Extended Reality Eye-Tracking Controller Interface for Scientists,X,-,-,-,-
The Toxic Cost of Cheap Usernames: Re-Applying Friedman and Resnick's Framework in Competitive Video Game Networks,X,-,-,-,-
Accelerating Saccadic Response through Spatial and Temporal Cross-Modal Misalignments,X,-,-,-,-
Influence of Simulation and Interactivity on Human Perceptions of a Robot During Navigation Tasks,X,-,-,-,-
NeighboAR: Efficient Object Retrieval using Proximity- and Gaze-based Object Grouping with an AR System,X,-,-,-,-
Financial DreamScape: Puzzle Narrative Games for Financial Education,X,-,-,-,-
Jamming with Culture - Piloting Cultural Game Jam with Youth,X,-,-,-,-
